dept_id, dept_name
1, IT
2, Dev
3, Test
4, Prod
5, HR
6, Engineering
7, Operations
8, Customer Support
9, Research and Development
10, Legal
11, Product Management
12, Quality Assurance
13, Business Development
14, Administration
15, Procurement
16, Design
17, Logistics
18, Public Relations
19, Compliance
20, Training
21, Information Technology
22, Sales and Marketing
23, Human Resources
24, Finance and Accounting
25, Customer Relations
26, Software Development
27, Operations Management
28, Marketing and Sales
29, Research
30, Legal Affairs

